Quarter,DailyNewsDate,Effective / Expected Close Date of Acquisition ,Region,Acquirer,HQ_Acquirer_Country,HQ_Acquirer_State,Target,HQ_Target_Country,HQ_Target_State,Target_Segment,Staffing (x),WFS,Rationale,Price,Hyperlink,Notes/Snippet
18Q1,20180212,,Americas,Naylor Association Solutions,USA,FL,Health eCareers’ nursing (owned by Everyday Health Inc),USA,NY,Workforce Solutions,,Job Boards/Apps,,ND,https://www2.staffingindustry.com/Editorial/Daily-News/Health-eCareers-nursing-allied-and-administrative-business-units-get-new-owner-45030,
18Q1,20180209,,EMEA,Bluestones Investment Group,United Kingdom,N/A,HandyStaff,United Kingdom,N/A,Temporary Staffing Skill Segment: Industrial,x,N/A,,ND,https://www2.staffingindustry.com/eng/Editorial/Daily-News/UK-Bluestones-investment-group-acquires-Midlands-recruitment-firm-Handystaff-45001,"For the Bluestones Group, HandyStaff represents an opportunity for the company to expand its construction and shopfitting divisions with offices in Newcastle, Liverpool, Nottingham, North Wales and London,” Bluestones stated."
18Q1,20180209,,Americas,Medical Solutions,USA,NE,PPR (sold by Trivest Partners),USA,FL,Temporary Staffing Skill Segment: Healthcare,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Medical-Solutions-to-acquire-healthcare-staffing-firm-PPR-45017,
18Q1,20180208,20180206,Americas,Nesco Resource,USA,OH,"Regal Staffing Services (Colombus, OH operations)",USA,OH,Temporary Staffing Skill Segment: Commercial,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Nesco-Resource-acquires-Regal-Staffing-Services-Ohio-branch-44992,
18Q1,20180207,20180101,Americas,Resource1 (Micro Strategies Inc.),USA,NJ,Carnegie Affiliates,USA,NY,Retained Search,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Resource1-acquires-IT-staffing-firm-targeting-New-York-metro-44974,
18Q1,20180207,,Americas,TS2 Holdings LLC,USA,CA,Neohire South,USA,CA,Direct Hire,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Japan-based-staffing-firm-Persol-s-US-growth-platform-TS2-acquires-three-California-staffing-firms-44979,Recruiting for startups
18Q1,20180207,,Americas,TS2 Holdings LLC,USA,CA,RockIT Recruiting,USA,CA,Direct Hire,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Japan-based-staffing-firm-Persol-s-US-growth-platform-TS2-acquires-three-California-staffing-firms-44979,Tech recruiting company
18Q1,20180207,,Americas,TS2 Holdings LLC,USA,CA,Hero.jobs,USA,CA,Direct Hire,x,N/A,,ND,https://www2.staffingindustry.com/site/Editorial/Daily-News/Japan-based-staffing-firm-Persol-s-US-growth-platform-TS2-acquires-three-California-staffing-firms-44979,
18Q1,20180205,,Americas,TeamHealth,USA,TN,Emergency Medicine Consultants,USA,TX,Temporary Staffing Skill Segment: Healthcare,x,NA,,ND,https://www.prnewswire.com/news-releases/teamhealth-acquires-emergency-medicine-consultants-300591393.html,"Business might be more outsourcing (like TeamHealth's other divisions) than staffing, but it is unclear"
18Q1,20180202,,EMEA,Morson Group,United Kingdom,N/A,Strategic Infusion Inc.,Canada,N/A,Temporary Staffing Skill Segment: Professional/Specialty,x,N/A,,ND,https://www2.staffingindustry.com/eng/Editorial/Daily-News/UK-Morson-Group-acquires-Canada-based-Strategic-Infusion-Inc.-44925,Strategic Infusion has operations in the US and the Caribbean. The company’s core technical markets include nuclear and telecommunications.
